genre,Pop,Rock,Country,R&B,Rap/Hip Hop,Alternative,Dance,Electro,Films/Games,Latin Music,Christian,Reggae,Jazz,Folk,Metal,Singer & Songwriter,Reggaeton,Asian Music,Disco,Traditional Mexicano,Classical,Kids
Pop,1.0,-0.5228086747461282,-0.2919268704292873,-0.3472416489531072,-0.3292680679066356,-0.24097487665535627,-0.11207383249938156,-0.10585501030925856,-0.1886102355854829,-0.14122565668056858,-0.10732650195292052,-0.05037238055810768,-0.04894296898479814,0.008371419064171723,-0.019698044360069656,-0.034889210384646166,-0.06596498639637825,-0.040279062688635264,-0.04878752953366362,-0.016545583401618765,0.02962950452205215,-0.017737371643029125
Rock,-0.5228086747461282,1.0,-0.2744206099745237,-0.2654873084423443,-0.30142050086416045,-0.22924388215622957,-0.07506665156598824,-0.05166855473153183,-0.11673830127856555,-0.11221332904472082,-0.01818400614470043,-0.03694112937478163,0.0005642534260948905,-0.01651273367892668,-0.0009173977408105585,-0.02769454105214354,-0.025269827727338004,-0.030671497538422587,-0.01699133517546665,-0.008315550072339055,0.02939719888407214,0.008532492974782951
Country,-0.2919268704292873,-0.2744206099745237,1.0,0.14332171993838944,0.23998340384615163,0.38839830868739317,-0.34060663339461716,-0.27389467579298565,-0.12286709491550717,0.25181671754694707,-0.12223937454549812,-0.06922258418991818,-0.22441496121993088,-0.18560897962825768,-0.04185809387798873,0.1571513532461823,0.1307816614710301,-0.0863926740377786,-0.05400126135691844,0.05421354004149694,-0.07477553149699734,-0.021664255670018773
R&B,-0.3472416489531072,-0.2654873084423443,0.14332171993838944,1.0,0.5404547859998051,0.1944255766944502,0.4914476720395752,0.3806845466608896,-0.16849702433877545,0.2757965091401193,0.26919323947673574,0.2091638502275776,0.25532794539069004,0.15001332007770418,0.10038110580930608,-0.03919948850225491,0.0016236307329296749,0.11873023750220986,0.08873877384165,-0.02360420183004986,-0.01961754009708663,0.025493735002806994
Rap/Hip Hop,-0.3292680679066356,-0.30142050086416045,0.23998340384615163,0.5404547859998051,1.0,0.3207052240736097,0.2372103307168256,0.2203217303912077,-0.14690776883569573,0.1719400590588205,0.1643474207512182,0.08509817454416102,0.061349208467812555,0.045334633924403095,-0.004294613900299199,0.00044065801776466655,0.08014819979461767,0.1588271068738761,0.11300808796417613,0.022116064483748303,-0.053205073628489155,0.02895529286619079
Alternative,-0.24097487665535627,-0.22924388215622957,0.38839830868739317,0.1944255766944502,0.3207052240736097,1.0,0.015233796738266116,0.034902229054900195,-0.1032197720918743,0.07418582209220798,-0.0320763032716456,0.007002205610265132,-0.061800088878179754,0.010561485994366597,0.0011786858408139999,0.07393387832870027,0.04260025923445946,0.0101029795012153,0.04562272021203175,0.01179176876080361,-0.018344445779646654,0.019514458780536204
Dance,-0.11207383249938156,-0.07506665156598824,-0.34060663339461716,0.4914476720395752,0.2372103307168256,0.015233796738266116,1.0,0.48870843879505577,-0.08019437751014144,-0.13210370191304552,0.28284564884301033,0.13895695128256338,0.4535181247521659,0.259450457215007,0.1412589919711072,-0.0857306388186726,-0.08783711512768606,0.046885921490411916,0.2092068955303139,-0.0595584288502008,0.05176389678196262,0.013156962567070267
Electro,-0.10585501030925856,-0.05166855473153183,-0.27389467579298565,0.3806845466608896,0.2203217303912077,0.034902229054900195,0.48870843879505577,1.0,-0.0822763301381328,-0.08778887196870486,0.23362924079710592,0.1813589137500126,0.265009273723604,0.12137516218776265,-0.04041476432308847,-0.023378556904846613,0.012095728184142042,0.21928822467862447,0.004131638357006227,0.009827541691841536,0.02427855330829006,0.04733800765839565
Films/Games,-0.1886102355854829,-0.11673830127856555,-0.12286709491550717,-0.16849702433877545,-0.14690776883569573,-0.1032197720918743,-0.08019437751014144,-0.0822763301381328,1.0,-0.05490254444398525,-0.04171830218159983,-0.05658670363089683,-0.04364093445465034,-0.032489598677285826,-0.024294006125374277,-0.031446933113864275,-0.012189598295841604,0.0030918812516971816,-0.016742577420502013,-0.01183037470860607,-0.013407932955055633,-0.010046021743852555
Latin Music,-0.14122565668056858,-0.11221332904472082,0.25181671754694707,0.2757965091401193,0.1719400590588205,0.07418582209220798,-0.13210370191304552,-0.08778887196870486,-0.05490254444398525,1.0,-0.00421411523639897,0.00848600966408095,-0.12443654090855431,-0.03790137446139455,-0.06082757169433901,0.04087472792554991,0.008827840301637564,0.014151960660669033,-0.03788485137033025,0.25706934941332577,-0.030339268227818888,-0.028483419676697024
Christian,-0.10732650195292052,-0.01818400614470043,-0.12223937454549812,0.26919323947673574,0.1643474207512182,-0.0320763032716456,0.28284564884301033,0.23362924079710592,-0.04171830218159983,-0.00421411523639897,1.0,0.10351720032399161,0.20400595723149442,0.02938080932945054,0.004691967790502962,-0.0251217800021281,0.1908262139576792,0.030145684313327047,-0.03722050830549695,-0.03587098199337368,-0.02980724337592652,-0.00979030151879786
Reggae,-0.05037238055810768,-0.03694112937478163,-0.06922258418991818,0.2091638502275776,0.08509817454416102,0.007002205610265132,0.13895695128256338,0.1813589137500126,-0.05658670363089683,0.00848600966408095,0.10351720032399161,1.0,0.13292729948618834,0.006244215228372135,-0.016953942911731423,0.0690558701859774,-0.04993985145876307,-0.043125064453425475,0.09385027602799935,-0.0338619851707634,0.045217829302489354,-0.026416665082324396
Jazz,-0.04894296898479814,0.0005642534260948905,-0.22441496121993088,0.25532794539069004,0.061349208467812555,-0.061800088878179754,0.4535181247521659,0.265009273723604,-0.04364093445465034,-0.12443654090855431,0.20400595723149442,0.13292729948618834,1.0,0.16839746441957296,0.032660764409514285,-0.05743862263969611,-0.04185671957209953,-0.03614495591454125,0.19797759350068997,-0.028381174073326652,0.05230348120766221,-0.022140933744946047
Folk,0.008371419064171723,-0.01651273367892668,-0.18560897962825768,0.15001332007770418,0.045334633924403095,0.010561485994366597,0.259450457215007,0.12137516218776265,-0.032489598677285826,-0.03790137446139455,0.02938080932945054,0.006244215228372135,0.16839746441957296,1.0,-0.023018644836725246,-0.04769803712924583,-0.03475855221637314,-0.030015403747778082,-0.02445489944832738,-0.02356822347939729,-0.019584180140883516,-0.018386218737646932
Metal,-0.019698044360069656,-0.0009173977408105585,-0.04185809387798873,0.10038110580930608,-0.004294613900299199,0.0011786858408139999,0.1412589919711072,-0.04041476432308847,-0.024294006125374277,-0.06082757169433901,0.004691967790502962,-0.016953942911731423,0.032660764409514285,-0.023018644836725246,1.0,-0.03806993140509104,-0.027742351221540094,-0.02395663282071181,0.07762354698739116,-0.018810850617799725,-0.015631007887560156,-0.014674861446489962
Singer & Songwriter,-0.034889210384646166,-0.02769454105214354,0.1571513532461823,-0.03919948850225491,0.00044065801776466655,0.07393387832870027,-0.0857306388186726,-0.023378556904846613,-0.031446933113864275,0.04087472792554991,-0.0251217800021281,0.0690558701859774,-0.05743862263969611,-0.04769803712924583,-0.03806993140509104,1.0,-0.024855212014165396,-0.021463472333303178,-0.017487256281259897,-0.01685321033313088,-0.01400429300090274,-0.01314765246890132
Reggaeton,-0.06596498639637825,-0.025269827727338004,0.1307816614710301,0.0016236307329296749,0.08014819979461767,0.04260025923445946,-0.08783711512768606,0.012095728184142042,-0.012189598295841604,0.008827840301637564,0.1908262139576792,-0.04993985145876307,-0.04185671957209953,-0.03475855221637314,-0.027742351221540094,-0.024855212014165396,1.0,-0.015640878928000344,-0.012743327548809816,-0.01228128507238873,-0.01020521972856629,-0.009580967946851456
Asian Music,-0.040279062688635264,-0.030671497538422587,-0.0863926740377786,0.11873023750220986,0.1588271068738761,0.0101029795012153,0.046885921490411916,0.21928822467862447,0.0030918812516971816,0.014151960660669033,0.030145684313327047,-0.043125064453425475,-0.03614495591454125,-0.030015403747778082,-0.02395663282071181,-0.021463472333303178,-0.015640878928000344,1.0,-0.011004374379193299,-0.010605382171690816,-0.008812616491644856,-0.008273550044003326
Disco,-0.04878752953366362,-0.01699133517546665,-0.05400126135691844,0.08873877384165,0.11300808796417613,0.04562272021203175,0.2092068955303139,0.004131638357006227,-0.016742577420502013,-0.03788485137033025,-0.03722050830549695,0.09385027602799935,0.19797759350068997,-0.02445489944832738,0.07762354698739116,-0.017487256281259897,-0.012743327548809816,-0.011004374379193299,1.0,-0.008640681857860417,-0.007180035024376419,-0.006740833343672206
Traditional Mexicano,-0.016545583401618765,-0.008315550072339055,0.05421354004149694,-0.02360420183004986,0.022116064483748303,0.01179176876080361,-0.0595584288502008,0.009827541691841536,-0.01183037470860607,0.25706934941332577,-0.03587098199337368,-0.0338619851707634,-0.028381174073326652,-0.02356822347939729,-0.018810850617799725,-0.01685321033313088,-0.01228128507238873,-0.010605382171690816,-0.008640681857860417,1.0,-0.006919704184511653,-0.006496426902785941
Classical,0.02962950452205215,0.02939719888407214,-0.07477553149699734,-0.01961754009708663,-0.053205073628489155,-0.018344445779646654,0.05176389678196262,0.02427855330829006,-0.013407932955055633,-0.030339268227818888,-0.02980724337592652,0.045217829302489354,0.05230348120766221,-0.019584180140883516,-0.015631007887560156,-0.01400429300090274,-0.01020521972856629,-0.008812616491644856,-0.007180035024376419,-0.006919704184511653,1.0,-0.00539825137212656
Kids,-0.017737371643029125,0.008532492974782951,-0.021664255670018773,0.025493735002806994,0.02895529286619079,0.019514458780536204,0.013156962567070267,0.04733800765839565,-0.010046021743852555,-0.028483419676697024,-0.00979030151879786,-0.026416665082324396,-0.022140933744946047,-0.018386218737646932,-0.014674861446489962,-0.01314765246890132,-0.009580967946851456,-0.008273550044003326,-0.006740833343672206,-0.006496426902785941,-0.00539825137212656,1.0
